Date,Region,Product,Channel,Units Sold,Sales
2022-01-11,South,Home & Kitchen,Online,2,226.37
2022-01-11,South,Apparel,Online,5,165.27
2022-01-11,South,Electronics,In-Store,1,232.0
2022-01-11,North,Sports & Outdoors,In-Store,1,59.24
2022-01-11,North,Apparel,In-Store,3,36.48
2022-01-11,North,Electronics,Online,5,1481.63
2022-01-12,West,Beauty,In-Store,1,25.88
2022-01-12,West,Sports & Outdoors,In-Store,2,220.03
2022-01-12,West,Home & Kitchen,Online,1,120.3
2022-01-12,West,Apparel,Online,1,58.58
2022-01-12,West,Electronics,In-Store,4,953.32
2022-01-12,East,Sports & Outdoors,Online,2,143.81
2022-01-12,East,Home & Kitchen,In-Store,3,264.32
2022-01-12,East,Electronics,Online,5,1996.48
2022-01-12,South,Electronics,Online,3,474.72
2022-01-12,North,Home & Kitchen,In-Store,1,30.4
2022-01-12,North,Electronics,Online,2,534.36
2022-01-13,East,Sports & Outdoors,Online,1,32.84
2022-01-13,East,Home & Kitchen,In-Store,2,87.89
2022-01-13,East,Beauty,In-Store,2,25.97
2022-01-13,West,Sports & Outdoors,In-Store,1,36.25
2022-01-13,East,Electronics,Online,2,132.12
2022-01-13,West,Apparel,Online,3,232.53
2022-01-13,South,Beauty,In-Store,2,74.69
2022-01-13,East,Apparel,Online,3,17.16
2022-01-13,South,Apparel,Online,2,114.45
2022-01-13,South,Electronics,In-Store,4,1356.1
2022-01-13,North,Beauty,In-Store,1,97.37
2022-01-13,North,Sports & Outdoors,In-Store,1,158.66
2022-01-13,North,Home & Kitchen,In-Store,4,607.87
2022-01-13,North,Electronics,Online,3,1378.32
2022-01-13,South,Home & Kitchen,Online,1,131.08
2022-01-14,West,Apparel,In-Store,2,91.2
2022-01-14,East,Home & Kitchen,Online,3,273.47
2022-01-14,East,Electronics,In-Store,3,1031.75
2022-01-14,South,Beauty,Online,1,27.24
2022-01-14,South,Sports & Outdoors,Online,2,74.5
2022-01-14,East,Apparel,In-Store,6,345.95
2022-01-14,North,Beauty,Online,2,63.36
2022-01-14,North,Sports & Outdoors,Online,3,178.73
2022-01-14,North,Home & Kitchen,In-Store,1,121.46
2022-01-14,North,Apparel,Online,1,81.22
2022-01-14,North,Electronics,In-Store,2,672.18
2022-01-14,South,Electronics,In-Store,4,1775.32
2022-01-15,West,Electronics,Online,5,1525.19
2022-01-15,East,Sports & Outdoors,Online,3,319.71
2022-01-15,East,Home & Kitchen,In-Store,1,128.22
2022-01-15,East,Apparel,Online,3,229.96
2022-01-15,South,Electronics,Online,1,292.6
2022-01-15,South,Sports & Outdoors,Online,1,44.66
2022-01-15,North,Sports & Outdoors,In-Store,2,109.07
2022-01-15,North,Apparel,Online,1,43.81
2022-01-15,North,Electronics,Online,2,420.58
2022-01-15,West,Home & Kitchen,Online,3,391.79
2022-01-15,East,Electronics,In-Store,1,478.55
2022-01-16,East,Beauty,Online,2,112.43
2022-01-16,East,Sports & Outdoors,Online,1,158.57
2022-01-16,West,Home & Kitchen,In-Store,1,144.27
2022-01-16,East,Apparel,In-Store,4,392.16
2022-01-16,West,Electronics,Online,2,247.63
2022-01-16,East,Electronics,Online,2,647.84
2022-01-16,South,Sports & Outdoors,Online,2,212.3
2022-01-16,South,Home & Kitchen,Online,2,284.52
2022-01-16,South,Apparel,Online,2,165.27
2022-01-16,South,Electronics,In-Store,1,214.72
2022-01-16,North,Apparel,Online,2,118.86
2022-01-16,North,Electronics,In-Store,2,485.19
2022-01-17,West,Sports & Outdoors,In-Store,3,144.81
2022-01-17,West,Home & Kitchen,Online,1,89.66
2022-01-17,West,Electronics,Online,3,430.77
2022-01-17,East,Home & Kitchen,Online,2,264.11
2022-01-17,East,Apparel,Online,5,229.25
2022-01-17,East,Electronics,Online,1,432.43
2022-01-17,South,Sports & Outdoors,In-Store,1,25.56
2022-01-17,South,Beauty,Online,1,43.37
2022-01-17,South,Apparel,Online,1,40.92
2022-01-17,South,Electronics,In-Store,3,493.2
2022-01-17,North,Beauty,In-Store,1,6.78
2022-01-17,North,Sports & Outdoors,In-Store,1,5.49
2022-01-17,North,Home & Kitchen,In-Store,2,65.66
2022-01-17,North,Electronics,Online,3,1278.18
2022-01-17,South,Home & Kitchen,Online,3,126.68
2022-01-18,East,Home & Kitchen,Online,4,556.02
2022-01-18,West,Beauty,Online,2,98.46
2022-01-18,West,Sports & Outdoors,Online,4,355.68
2022-01-18,West,Home & Kitchen,Online,1,125.03
2022-01-18,West,Apparel,In-Store,1,110.01
2022-01-18,West,Electronics,In-Store,1,257.86
2022-01-18,East,Sports & Outdoors,Online,2,53.99
2022-01-18,East,Apparel,Online,3,177.98
2022-01-18,East,Beauty,Online,3,86.88
2022-01-18,South,Beauty,Online,1,39.62
2022-01-18,South,Home & Kitchen,In-Store,2,262.25
2022-01-18,South,Electronics,In-Store,5,2232.75
2022-01-18,North,Beauty,Online,3,120.87
2022-01-18,North,Sports & Outdoors,Online,1,133.62
2022-01-18,North,Home & Kitchen,Online,1,130.44
2022-01-18,North,Apparel,Online,1,160.47
2022-01-18,North,Electronics,In-Store,2,307.34
2022-01-18,East,Electronics,In-Store,3,1041.27
2022-01-19,West,Beauty,In-Store,1,30.17
2022-01-19,West,Electronics,Online,2,828.96
2022-01-19,East,Beauty,Online,2,80.75
2022-01-19,East,Apparel,Online,2,141.33
2022-01-19,East,Electronics,In-Store,2,353.41
2022-01-19,West,Home & Kitchen,Online,2,244.65
2022-01-19,South,Apparel,Online,2,70.95
2022-01-19,South,Electronics,Online,6,1176.9
2022-01-19,North,Sports & Outdoors,In-Store,3,312.3
2022-01-19,North,Apparel,Online,3,105.22
2022-01-19,South,Sports & Outdoors,Online,2,88.49
2022-01-20,West,Home & Kitchen,Online,1,43.66
2022-01-20,West,Electronics,In-Store,4,1692.29
2022-01-20,East,Beauty,Online,2,28.34
2022-01-20,East,Home & Kitchen,In-Store,2,96.15
2022-01-20,East,Apparel,In-Store,2,69.34
2022-01-20,East,Electronics,In-Store,3,1181.51
2022-01-20,South,Beauty,Online,1,88.59
2022-01-20,South,Electronics,Online,4,660.03
2022-01-20,South,Home & Kitchen,Online,2,92.98
2022-01-20,North,Beauty,In-Store,1,41.6
2022-01-20,North,Sports & Outdoors,In-Store,2,51.27
2022-01-20,North,Home & Kitchen,In-Store,2,136.08
2022-01-20,North,Apparel,Online,1,81.41
2022-01-20,North,Electronics,In-Store,2,173.45
2022-01-20,South,Sports & Outdoors,Online,2,106.47
2022-01-21,West,Electronics,In-Store,6,2406.59
2022-01-21,East,Sports & Outdoors,In-Store,2,125.99
2022-01-21,West,Home & Kitchen,Online,1,36.99
2022-01-21,West,Apparel,Online,1,18.11
2022-01-21,East,Home & Kitchen,Online,6,642.95
2022-01-21,South,Sports & Outdoors,In-Store,2,194.04
2022-01-21,East,Electronics,Online,3,1161.73
2022-01-21,South,Beauty,Online,1,71.83
2022-01-21,East,Apparel,In-Store,3,162.68
2022-01-21,South,Electronics,In-Store,2,419.66
2022-01-21,North,Home & Kitchen,Online,1,60.31
2022-01-22,West,Beauty,Online,3,125.59
2022-01-22,West,Sports & Outdoors,Online,2,112.36
2022-01-22,West,Home & Kitchen,Online,2,309.65
2022-01-22,West,Apparel,Online,3,193.78
2022-01-22,West,Electronics,In-Store,1,168.87
2022-01-22,East,Beauty,Online,2,64.89
2022-01-22,East,Home & Kitchen,In-Store,1,119.78
2022-01-22,East,Apparel,Online,2,73.25
2022-01-22,South,Beauty,Online,2,92.22
2022-01-22,South,Home & Kitchen,In-Store,2,226.81
2022-01-22,South,Apparel,Online,3,201.48
2022-01-22,North,Beauty,Online,2,73.97
2022-01-22,North,Sports & Outdoors,Online,1,21.83
2022-01-22,North,Home & Kitchen,In-Store,1,61.78
2022-01-22,North,Electronics,In-Store,2,380.46
2022-01-22,East,Electronics,Online,2,493.43
2022-01-23,East,Home & Kitchen,Online,4,268.01
2022-01-23,West,Sports & Outdoors,In-Store,3,140.88
2022-01-23,West,Home & Kitchen,Online,3,31.69
2022-01-23,West,Apparel,Online,1,16.83
2022-01-23,West,Electronics,Online,1,191.86
2022-01-23,East,Sports & Outdoors,Online,2,166.57
2022-01-23,East,Apparel,In-Store,3,231.11
2022-01-23,South,Beauty,Online,1,19.27
2022-01-23,South,Sports & Outdoors,Online,1,23.06
2022-01-23,South,Home & Kitchen,In-Store,3,128.04
2022-01-23,South,Apparel,Online,2,41.6
2022-01-23,South,Electronics,In-Store,4,1035.79
2022-01-23,North,Sports & Outdoors,Online,1,146.12
2022-01-23,North,Apparel,Online,2,134.12
2022-01-23,North,Electronics,Online,5,1203.72
2022-01-23,East,Electronics,In-Store,7,710.17
2022-01-24,South,Home & Kitchen,Online,1,21.51
2022-01-24,West,Beauty,Online,2,47.95
2022-01-24,West,Home & Kitchen,In-Store,3,399.77
2022-01-24,West,Electronics,In-Store,1,368.87
2022-01-24,East,Home & Kitchen,Online,1,83.67
2022-01-24,East,Apparel,Online,3,236.52
2022-01-24,East,Electronics,Online,3,425.03
2022-01-24,South,Apparel,Online,2,33.75
2022-01-24,South,Electronics,In-Store,3,515.24
2022-01-24,North,Home & Kitchen,In-Store,2,89.49
2022-01-24,North,Apparel,Online,4,27.24
2022-01-24,North,Electronics,Online,1,52.95
2022-01-24,South,Sports & Outdoors,Online,1,74.01
2022-01-25,East,Home & Kitchen,Online,2,225.15
2022-01-25,East,Sports & Outdoors,Online,1,38.92
2022-01-25,East,Apparel,Online,2,89.47
2022-01-25,West,Sports & Outdoors,In-Store,1,101.14
2022-01-25,West,Beauty,In-Store,1,43.45
2022-01-25,East,Beauty,Online,1,76.09
2022-01-25,East,Electronics,In-Store,5,1781.91
2022-01-25,West,Electronics,Online,1,426.22
2022-01-25,South,Sports & Outdoors,Online,3,268.46
2022-01-25,South,Apparel,In-Store,3,209.94
2022-01-25,South,Electronics,Online,1,429.05
2022-01-25,North,Beauty,Online,1,16.11
2022-01-25,South,Beauty,Online,1,110.26
2022-01-25,North,Home & Kitchen,In-Store,1,68.68
2022-01-25,North,Apparel,Online,3,251.98
2022-01-26,West,Sports & Outdoors,In-Store,1,19.96
2022-01-26,West,Apparel,Online,1,10.91
2022-01-26,East,Beauty,Online,1,108.11
2022-01-26,East,Home & Kitchen,Online,4,633.41
2022-01-26,East,Apparel,Online,1,137.52
2022-01-26,East,Electronics,In-Store,3,397.24
2022-01-26,South,Beauty,Online,2,71.02
2022-01-26,South,Home & Kitchen,In-Store,1,74.55
2022-01-26,South,Apparel,Online,1,81.81
2022-01-26,North,Beauty,Online,2,91.03
2022-01-26,North,Sports & Outdoors,Online,3,214.38
2022-01-26,North,Apparel,Online,4,262.51
2022-01-26,North,Electronics,In-Store,3,1194.55
2022-01-27,West,Home & Kitchen,Online,2,70.18
2022-01-27,West,Electronics,Online,2,279.54
2022-01-27,East,Beauty,In-Store,2,96.36
2022-01-27,East,Sports & Outdoors,In-Store,1,49.67
2022-01-27,East,Home & Kitchen,Online,1,148.58
2022-01-27,East,Apparel,In-Store,4,134.8
2022-01-27,East,Electronics,Online,4,1368.82
2022-01-27,South,Home & Kitchen,Online,2,16.47
2022-01-27,South,Electronics,In-Store,1,87.27
2022-01-27,North,Beauty,In-Store,2,92.27
2022-01-27,North,Sports & Outdoors,Online,3,115.38
2022-01-27,North,Home & Kitchen,In-Store,1,46.93
2022-01-27,North,Apparel,In-Store,1,23.04
2022-01-27,North,Electronics,In-Store,2,667.5
2022-01-27,South,Sports & Outdoors,In-Store,1,1.55
2022-01-28,West,Sports & Outdoors,In-Store,1,129.57
2022-01-28,West,Home & Kitchen,In-Store,2,230.4
2022-01-28,West,Apparel,In-Store,2,170.27
2022-01-28,East,Sports & Outdoors,Online,3,237.59
2022-01-28,East,Home & Kitchen,In-Store,1,55.65
2022-01-28,East,Electronics,In-Store,1,101.68
2022-01-28,West,Beauty,Online,1,42.18
2022-01-28,South,Electronics,Online,4,635.05
2022-01-28,North,Beauty,Online,2,127.6
2022-01-28,North,Sports & Outdoors,In-Store,1,122.43
2022-01-28,North,Home & Kitchen,Online,3,207.69
2022-01-28,North,Apparel,Online,1,123.48
2022-01-28,North,Electronics,Online,4,1429.42
2022-01-28,South,Beauty,In-Store,3,204.15
2022-01-29,West,Home & Kitchen,In-Store,2,228.48
2022-01-29,West,Electronics,Online,3,362.83
2022-01-29,East,Beauty,Online,2,80.85
2022-01-29,East,Sports & Outdoors,Online,2,18.54
2022-01-29,East,Home & Kitchen,Online,3,87.01
2022-01-29,East,Electronics,In-Store,4,1740.68
2022-01-29,South,Sports & Outdoors,Online,3,291.94
2022-01-29,South,Apparel,Online,1,100.06
2022-01-29,North,Beauty,Online,3,100.35
2022-01-29,North,Sports & Outdoors,Online,1,103.8
2022-01-29,North,Home & Kitchen,Online,2,294.27
2022-01-29,North,Apparel,In-Store,2,62.27
2022-01-29,North,Electronics,Online,4,926.71
2022-01-29,South,Electronics,Online,1,329.23
2022-01-30,East,Home & Kitchen,Online,3,116.12
2022-01-30,West,Home & Kitchen,Online,1,135.31
2022-01-30,West,Apparel,In-Store,1,101.53
2022-01-30,West,Electronics,Online,5,957.16
2022-01-30,West,Beauty,Online,3,228.61
2022-01-30,East,Sports & Outdoors,Online,2,130.97
2022-01-30,East,Apparel,In-Store,2,175.87
2022-01-30,East,Beauty,Online,1,53.96
2022-01-30,South,Beauty,Online,2,103.54
2022-01-30,South,Home & Kitchen,Online,1,110.32
2022-01-30,South,Apparel,In-Store,1,31.79
2022-01-30,South,Electronics,Online,4,1703.02
2022-01-30,North,Sports & Outdoors,Online,2,191.33
2022-01-30,North,Home & Kitchen,In-Store,2,142.43
2022-01-30,North,Apparel,In-Store,1,143.78
2022-01-30,East,Electronics,In-Store,4,485.53
2022-01-31,West,Electronics,In-Store,4,499.72
2022-01-31,East,Sports & Outdoors,In-Store,1,95.94
2022-01-31,East,Home & Kitchen,Online,3,167.04
2022-01-31,East,Apparel,Online,2,156.63
2022-01-31,East,Electronics,Online,2,898.94
2022-01-31,West,Apparel,In-Store,1,105.46
2022-01-31,South,Home & Kitchen,Online,1,62.36
2022-01-31,South,Apparel,In-Store,1,17.06
2022-01-31,South,Electronics,In-Store,2,217.04
2022-01-31,North,Sports & Outdoors,Online,2,123.57
2022-01-31,North,Home & Kitchen,In-Store,4,435.48
2022-01-31,North,Electronics,Online,1,302.19
2022-02-01,West,Sports & Outdoors,Online,1,78.52
2022-02-01,West,Home & Kitchen,Online,2,277.44
2022-02-01,West,Electronics,Online,1,425.97
2022-02-01,East,Sports & Outdoors,Online,2,86.04
2022-02-01,East,Home & Kitchen,Online,1,90.69
2022-02-01,East,Electronics,Online,1,313.08
2022-02-01,East,Apparel,In-Store,2,112.45
2022-02-01,South,Home & Kitchen,In-Store,2,249.17
2022-02-01,South,Electronics,Online,3,1253.91
2022-02-01,North,Beauty,Online,4,108.69
2022-02-01,South,Sports & Outdoors,In-Store,2,167.73
2022-02-02,East,Home & Kitchen,In-Store,1,67.19
2022-02-02,West,Beauty,In-Store,2,59.51
2022-02-02,West,Sports & Outdoors,Online,4,35.42
2022-02-02,West,Home & Kitchen,In-Store,3,43.47
2022-02-02,West,Electronics,Online,3,453.0
2022-02-02,East,Beauty,Online,2,43.38
2022-02-02,East,Sports & Outdoors,Online,1,2.47
2022-02-02,East,Apparel,Online,2,96.54
2022-02-02,North,Electronics,In-Store,3,425.71
2022-02-02,South,Sports & Outdoors,In-Store,1,35.54
2022-02-02,South,Home & Kitchen,Online,2,84.41
2022-02-02,South,Apparel,Online,3,82.43
2022-02-02,South,Electronics,Online,3,327.42
2022-02-02,North,Beauty,In-Store,1,169.94
2022-02-02,North,Sports & Outdoors,Online,2,256.63
2022-02-02,North,Apparel,Online,2,234.01
2022-02-02,East,Electronics,Online,2,785.74
2022-02-03,West,Home & Kitchen,Online,2,283.36
2022-02-03,West,Electronics,Online,3,1351.19
2022-02-03,East,Beauty,Online,1,70.92
2022-02-03,East,Sports & Outdoors,In-Store,1,107.22
2022-02-03,East,Home & Kitchen,Online,2,166.18
2022-02-03,East,Apparel,In-Store,1,90.14
2022-02-03,East,Electronics,Online,4,721.24
2022-02-03,South,Sports & Outdoors,Online,1,61.85
2022-02-03,South,Electronics,Online,2,648.09
2022-02-03,North,Sports & Outdoors,Online,1,78.51
2022-02-03,North,Home & Kitchen,In-Store,1,166.0
2022-02-03,North,Apparel,In-Store,1,81.51
2022-02-04,West,Beauty,In-Store,1,33.12
2022-02-04,West,Apparel,Online,2,107.4
2022-02-04,West,Electronics,In-Store,5,588.42
2022-02-04,East,Sports & Outdoors,In-Store,3,283.59
2022-02-04,East,Home & Kitchen,In-Store,2,163.46
2022-02-04,South,Electronics,In-Store,4,1757.24
2022-02-04,North,Beauty,In-Store,3,87.99
2022-02-04,North,Apparel,Online,3,101.92
2022-02-04,North,Electronics,Online,1,278.77
2022-02-04,East,Apparel,Online,2,184.43
2022-02-05,West,Beauty,Online,3,133.59
2022-02-05,West,Apparel,Online,1,39.69
2022-02-05,West,Electronics,Online,2,872.55
2022-02-05,East,Beauty,Online,2,69.47
2022-02-05,East,Sports & Outdoors,Online,2,93.72
2022-02-05,East,Home & Kitchen,Online,3,344.13
2022-02-05,East,Electronics,Online,3,1228.58
2022-02-05,East,Apparel,Online,5,172.0
2022-02-05,South,Apparel,Online,1,53.16
2022-02-05,South,Electronics,In-Store,2,251.15
2022-02-05,North,Beauty,Online,2,29.89
2022-02-05,North,Sports & Outdoors,Online,4,37.6
2022-02-05,North,Home & Kitchen,Online,3,412.42
2022-02-05,North,Apparel,In-Store,1,44.97
2022-02-05,North,Electronics,Online,5,1116.79
2022-02-05,South,Beauty,In-Store,2,68.62
2022-02-06,East,Apparel,Online,4,133.76
2022-02-06,West,Home & Kitchen,Online,2,276.51
2022-02-06,West,Beauty,Online,1,55.79
2022-02-06,West,Electronics,Online,3,563.67
2022-02-06,East,Beauty,In-Store,3,84.68
2022-02-06,East,Sports & Outdoors,Online,4,487.32
2022-02-06,East,Home & Kitchen,In-Store,2,261.48
2022-02-06,East,Electronics,Online,2,375.48
2022-02-06,West,Apparel,Online,3,66.28
2022-02-06,South,Home & Kitchen,Online,1,93.41
2022-02-06,South,Apparel,Online,2,11.23
2022-02-06,North,Beauty,In-Store,1,17.67
2022-02-06,North,Sports & Outdoors,In-Store,3,176.44
2022-02-06,North,Home & Kitchen,Online,3,251.47
2022-02-06,North,Apparel,Online,2,67.93
2022-02-06,North,Electronics,In-Store,3,258.92
2022-02-06,South,Sports & Outdoors,Online,1,31.25
2022-02-07,West,Apparel,Online,3,261.42
2022-02-07,East,Apparel,Online,4,298.99
2022-02-07,East,Electronics,Online,5,1073.12
2022-02-07,South,Beauty,Online,1,85.64
2022-02-07,West,Sports & Outdoors,Online,1,69.54
2022-02-07,North,Beauty,In-Store,4,31.27
2022-02-07,North,Sports & Outdoors,In-Store,2,194.45
2022-02-07,North,Home & Kitchen,In-Store,2,206.67
2022-02-07,North,Apparel,Online,4,156.18
2022-02-07,North,Electronics,Online,4,1402.67
2022-02-07,South,Sports & Outdoors,Online,1,144.19
2022-02-08,West,Home & Kitchen,Online,2,73.75
2022-02-08,West,Electronics,Online,3,1082.4
2022-02-08,East,Beauty,In-Store,2,35.15
2022-02-08,East,Sports & Outdoors,In-Store,2,115.73
2022-02-08,East,Home & Kitchen,Online,1,101.97
2022-02-08,East,Apparel,Online,2,102.5
2022-02-08,South,Sports & Outdoors,Online,2,203.2
2022-02-08,South,Electronics,Online,2,812.99
2022-02-08,North,Apparel,Online,3,293.52
2022-02-08,North,Electronics,Online,5,746.89
2022-02-08,East,Electronics,Online,3,1275.7
2022-02-09,East,Sports & Outdoors,Online,1,53.25
2022-02-09,West,Beauty,Online,1,57.77
2022-02-09,West,Sports & Outdoors,Online,2,199.14
2022-02-09,West,Home & Kitchen,In-Store,1,73.14
2022-02-09,West,Apparel,Online,1,56.34
2022-02-09,West,Electronics,In-Store,1,134.05
2022-02-09,East,Home & Kitchen,Online,3,319.4
2022-02-09,North,Sports & Outdoors,Online,3,100.83
2022-02-09,South,Beauty,In-Store,3,93.02
2022-02-09,North,Electronics,Online,2,661.95
2022-02-09,North,Apparel,Online,4,352.93
2022-02-09,East,Apparel,Online,3,203.11
2022-02-09,South,Electronics,In-Store,3,419.9
2022-02-09,South,Home & Kitchen,In-Store,5,402.04
2022-02-10,West,Sports & Outdoors,Online,1,1.67
2022-02-10,West,Apparel,In-Store,2,57.03
2022-02-10,West,Electronics,Online,2,309.86
2022-02-10,East,Sports & Outdoors,Online,1,64.09
2022-02-10,East,Home & Kitchen,Online,3,127.53
2022-02-10,East,Electronics,Online,3,1235.81
2022-02-10,South,Beauty,In-Store,1,58.67
2022-02-10,South,Home & Kitchen,Online,1,80.1
2022-02-10,South,Apparel,Online,1,85.83
2022-02-10,South,Electronics,In-Store,2,433.09
2022-02-10,North,Beauty,In-Store,1,41.63
2022-02-10,North,Sports & Outdoors,In-Store,1,70.35
2022-02-10,North,Apparel,In-Store,4,245.18
2022-02-10,North,Electronics,In-Store,6,1230.53
